State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
Vermont,2012,45030,73369,423650,0.081191,0.113543,0.003103,0.113443,0.287391,0.088818
Virginia,2012,619956,893349,5256298,0.056825,0.077613,0.002118,0.060509,0.170258,0.044867
Washington,2012,529852,738145,4498893,0.065384,0.082729,0.003076,0.098075,0.255554,0.103922
West Virginia,2012,130671,189908,1253753,0.054456,0.060292,0.001707,0.052252,0.148767,0.035653
Wisconsin,2012,449677,617207,3732300,0.061649,0.069475,0.002136,0.071843,0.184624,0.044241
Wyoming,2012,43516,63905,369343,0.054907,0.062084,0.002206,0.059534,0.141181,0.043735
Alabama,2013,382134,535409,3116298,0.04459,0.06041,0.00149,0.04981,0.150424,0.04028
Alaska,2013,59900,83456,435577,0.069865,0.090444,0.0052,0.091884,0.213009,0.104227
Arizona,2013,543484,732863,4218271,0.065845,0.080035,0.002597,0.082996,0.200441,0.069037
Arkansas,2013,236666,319372,1883371,0.057799,0.066292,0.002047,0.062205,0.162135,0.051487
California,2013,3080548,4469106,24421137,0.061609,0.085629,0.002854,0.087369,0.210463,0.070944
Colorado,2013,408429,575557,3398728,0.091278,0.101944,0.003942,0.12557,0.312392,0.124476
Connecticut,2013,286281,381473,2382534,0.070991,0.090123,0.002546,0.079112,0.224147,0.063385
Delaware,2013,67991,101239,610148,0.064377,0.089971,0.002487,0.082218,0.211136,0.060866
District of Columbia,2013,30551,93509,435643,0.091113,0.106221,0.0055,0.105563,0.24722,0.101379
Florida,2013,1390131,1980707,13387121,0.059496,0.074764,0.002002,0.075087,0.203198,0.057034
Georgia,2013,838199,1108195,6240700,0.049531,0.065229,0.00198,0.060592,0.176392,0.062424
Hawaii,2013,96971,140686,904925,0.065123,0.064284,0.004341,0.076521,0.15874,0.066779
Idaho,2013,142945,173361,999689,0.061451,0.065719,0.002012,0.063851,0.142764,0.049623
Illinois,2013,1033794,1394857,8297420,0.048776,0.078569,0.002349,0.067481,0.196225,0.057353
Indiana,2013,541174,740165,4164196,0.055258,0.092679,0.002293,0.065231,0.203067,0.053848
Iowa,2013,242393,352842,1979684,0.042376,0.080255,0.0018,0.051744,0.140096,0.034038
Kansas,2013,237609,325999,1786820,0.050011,0.075425,0.002066,0.058485,0.151084,0.048065
Kentucky,2013,340101,470972,2832115,0.041846,0.062095,0.001802,0.056292,0.174908,0.050948
Louisiana,2013,367862,519036,2899670,0.049919,0.068988,0.001754,0.055532,0.159912,0.044164
Maine,2013,93811,127380,928319,0.069447,0.125323,0.002838,0.098962,0.283778,0.107687
Maryland,2013,455684,629854,3882314,0.065736,0.087776,0.00262,0.080509,0.234189,0.062006
Massachusetts,2013,488765,782118,4469726,0.065174,0.111638,0.003173,0.088829,0.287434,0.090849
Michigan,2013,797647,1114774,6446918,0.065532,0.089143,0.002699,0.08085,0.231684,0.081957
Minnesota,2013,425247,571816,3529926,0.046758,0.07473,0.00255,0.067477,0.197439,0.053239
Mississippi,2013,245600,338718,1849489,0.046135,0.053951,0.001524,0.056026,0.163903,0.039471
Missouri,2013,470976,656394,3894492,0.055521,0.088774,0.002247,0.064496,0.216802,0.058521
Montana,2013,74121,110655,669411,0.052378,0.066894,0.002539,0.082989,0.205712,0.084862
Nebraska,2013,149327,209508,1171452,0.042384,0.064079,0.001979,0.055405,0.161879,0.039656
Nevada,2013,221704,287435,1826942,0.06145,0.088423,0.002948,0.079695,0.180072,0.061266
New Hampshire,2013,99717,141165,900190,0.076946,0.119264,0.003382,0.098306,0.300913,0.087847
New Jersey,2013,701644,890874,5907201,0.054847,0.074751,0.002306,0.063626,0.165966,0.047389
New Mexico,2013,166639,228647,1314755,0.06941,0.065704,0.002816,0.079843,0.193231,0.080595
New York,2013,1440280,2239134,12988411,0.056629,0.07634,0.002807,0.077521,0.195743,0.067018
North Carolina,2013,771607,1054654,6339066,0.054693,0.068608,0.002029,0.065084,0.161881,0.051478
North Dakota,2013,50733,100601,448656,0.042422,0.064344,0.002064,0.055963,0.140541,0.039482
Ohio,2013,922292,1235723,7534236,0.051011,0.080447,0.002176,0.060356,0.178864,0.052402
Oklahoma,2013,309426,429192,2404755,0.053723,0.065749,0.002078,0.055248,0.157621,0.046093
Oregon,2013,291323,413626,2641759,0.073382,0.092745,0.003646,0.101936,0.248535,0.106773
Pennsylvania,2013,941238,1382616,8494600,0.053194,0.079052,0.002122,0.069987,0.193604,0.053446
Rhode Island,2013,75717,131028,692945,0.060241,0.102541,0.002792,0.106933,0.289032,0.099232
South Carolina,2013,362044,521862,3096686,0.061668,0.069014,0.001965,0.061563,0.168939,0.048804
South Dakota,2013,65627,93403,529318,0.042196,0.064074,0.001819,0.053161,0.130247,0.033043
Tennessee,2013,506479,700245,4226870,0.043526,0.060197,0.00171,0.056968,0.147171,0.040115
Texas,2013,2327085,3010183,16119667,0.047859,0.060642,0.001854,0.06121,0.150588,0.042115
Utah,2013,282277,372803,1623929,0.034523,0.046881,0.001803,0.05417,0.115524,0.042453
Vermont,2013,44408,73820,424696,0.072004,0.129056,0.003076,0.114017,0.305981,0.104153
Virginia,2013,622264,896567,5318077,0.048924,0.082866,0.002249,0.058852,0.178497,0.051189
Washington,2013,530795,741218,4566571,0.067047,0.087546,0.003313,0.100635,0.24468,0.112147
West Virginia,2013,129873,190362,1252711,0.047456,0.065273,0.001768,0.055965,0.169905,0.047508
Wisconsin,2013,448046,620976,3753413,0.060611,0.081845,0.002347,0.071787,0.175037,0.045454
Wyoming,2013,44128,63910,371861,0.052837,0.069656,0.00216,0.061909,0.160011,0.046659
Alabama,2014,380801,530600,3138127,0.043638,0.063945,0.001978,0.051607,0.143339,0.038612
Alaska,2014,59194,83247,438664,0.075236,0.106925,0.007418,0.106409,0.2502,0.128295
Arizona,2014,546470,741492,4307838,0.060925,0.083572,0.003482,0.077136,0.189153,0.068149
Arkansas,2014,236359,318914,1895228,0.053731,0.070826,0.002583,0.064556,0.169316,0.056246
California,2014,3054845,4457598,24866806,0.058903,0.081688,0.004183,0.083226,0.20523,0.078961
Colorado,2014,415441,587313,3473655,0.081624,0.120499,0.005312,0.111262,0.317456,0.146488
Connecticut,2014,283053,385831,2387658,0.066127,0.098039,0.003726,0.083382,0.249924,0.072538
Delaware,2014,68597,99525,621612,0.052925,0.077333,0.002896,0.074151,0.211882,0.060147
District of Columbia,2014,30707,93667,444939,0.082632,0.129804,0.007819,0.088528,0.261938,0.091383
Florida,2014,1399768,1984453,13702886,0.055685,0.073867,0.002805,0.067806,0.207419,0.060076
Georgia,2014,846476,1114618,6338910,0.051748,0.075816,0.002795,0.069189,0.185907,0.060049
Hawaii,2014,96910,140448,916539,0.063111,0.069882,0.005939,0.061508,0.160947,0.068807
Idaho,2014,144818,174351,1017451,0.055017,0.061341,0.002464,0.065063,0.136927,0.050611
Illinois,2014,1023238,1388172,8326464,0.045919,0.079712,0.00288,0.065508,0.196302,0.061264
Indiana,2014,540670,742735,4189743,0.059716,0.089724,0.003277,0.08082,0.207127,0.066723
Iowa,2014,242812,356929,1990458,0.043103,0.07905,0.002073,0.053005,0.126705,0.033021
Kansas,2014,237562,328661,1795749,0.050098,0.072792,0.002567,0.064305,0.157258,0.058489
Kentucky,2014,339643,472877,2847963,0.046209,0.06477,0.002344,0.063565,0.167165,0.055411
Louisiana,2014,367670,513576,2928109,0.044601,0.078033,0.002403,0.05332,0.162212,0.04708
Maine,2014,92645,125931,932783,0.074493,0.103072,0.004159,0.100114,0.297203,0.118448
Maryland,2014,454564,625779,3923318,0.061218,0.098627,0.00378,0.092047,0.248669,0.072389
Massachusetts,2014,488093,788758,4519295,0.0682,0.10164,0.004296,0.092247,0.273871,0.09207
Michigan,2014,788717,1114570,6479469,0.057885,0.081716,0.003477,0.080626,0.227763,0.081415
Minnesota,2014,425999,571903,3562031,0.043883,0.083569,0.002915,0.062142,0.193011,0.058807
Mississippi,2014,244465,337215,1859652,0.044066,0.059163,0.001834,0.052902,0.1391,0.038126
Missouri,2014,470263,656687,3918803,0.056199,0.090613,0.002822,0.065609,0.194561,0.062782
Montana,2014,74378,111496,676207,0.061936,0.086723,0.003789,0.08706,0.228778,0.094053
Nebraska,2014,151059,211662,1179809,0.035086,0.071274,0.002203,0.052565,0.168339,0.045256
Nevada,2014,222788,288699,1872598,0.06276,0.098506,0.003853,0.07393,0.170521,0.064278
New Hampshire,2014,98378,142433,905672,0.068231,0.108815,0.004671,0.094439,0.291186,0.096547
New Jersey,2014,697509,894294,5945550,0.049856,0.078294,0.002969,0.068097,0.189602,0.052285
New Mexico,2014,165438,227077,1322519,0.067111,0.068981,0.003564,0.085316,0.206075,0.085479
New York,2014,1427531,2228431,13092078,0.054306,0.086267,0.003554,0.075509,0.226869,0.075425
North Carolina,2014,777550,1062442,6428523,0.053514,0.078147,0.002653,0.05973,0.190412,0.055115
North Dakota,2014,51690,103308,457339,0.049115,0.066754,0.002571,0.06211,0.147704,0.039329
Ohio,2014,917272,1229015,7573265,0.049008,0.079207,0.002707,0.060522,0.195497,0.05912
Oklahoma,2014,312268,431096,2427465,0.056206,0.060258,0.002737,0.054207,0.148658,0.048177
Oregon,2014,291273,414709,2686806,0.068461,0.097358,0.004512,0.09422,0.262943,0.109932
Pennsylvania,2014,934275,1364517,8539968,0.047398,0.076534,0.002922,0.069784,0.189689,0.060152
Rhode Island,2014,75156,129467,698360,0.067135,0.103179,0.003938,0.101867,0.288861,0.103884
South Carolina,2014,365128,520055,3154439,0.058249,0.08058,0.002646,0.065659,0.210654,0.06156
South Dakota,2014,65789,93308,534674,0.044494,0.071705,0.002395,0.064267,0.170478,0.052202
Tennessee,2014,507891,703134,4272566,0.044608,0.067147,0.002231,0.059023,0.159466,0.048059
Texas,2014,2361420,3057833,16501892,0.048689,0.060787,0.002343,0.068579,0.150786,0.043228
Utah,2014,288637,379132,1657347,0.030535,0.049333,0.001777,0.045432,0.110745,0.037525
Vermont,2014,43770,74221,425449,0.069692,0.130209,0.004479,0.108587,0.349457,0.116134
Virginia,2014,624487,896614,5378367,0.050293,0.080998,0.002929,0.054371,0.178154,0.048985
Washington,2014,530669,745679,4652511,0.059575,0.090001,0.004114,0.091713,0.218674,0.097421
West Virginia,2014,129363,188612,1251012,0.056568,0.079659,0.002319,0.060545,0.188852,0.052184
Wisconsin,2014,446438,624460,3771577,0.060463,0.082444,0.003138,0.076045,0.175202,0.05047
Wyoming,2014,44151,63351,373558,0.053323,0.072246,0.002625,0.065882,0.156416,0.047079
Alabama,2015,378330,522750,3159474,0.041864,0.0639,0.002691,0.052037,0.142502,0.037664
Alaska,2015,59083,80112,444143,0.077936,0.107616,0.008103,0.104263,0.276528,0.14651
Arizona,2015,548504,746271,4399565,0.051166,0.073147,0.00504,0.067498,0.178068,0.057384
Arkansas,2015,236654,317993,1908182,0.045629,0.067059,0.00308,0.055897,0.154884,0.057429
California,2015,3039214,4399955,25184187,0.056758,0.075716,0.004816,0.073327,0.230919,0.086964
Colorado,2015,421468,596535,3551363,0.077364,0.159661,0.00832,0.090776,0.321952,0.140049
Connecticut,2015,279545,388177,2387609,0.057823,0.099135,0.004922,0.079506,0.269425,0.066623
Delaware,2015,69164,97254,632438,0.058802,0.07762,0.003705,0.073541,0.232884,0.068347
District of Columbia,2015,30813,93701,453192,0.068541,0.146894,0.009913,0.080677,0.323885,0.106997
Florida,2015,1405801,1971645,14028654,0.056223,0.073131,0.003244,0.070306,0.198152,0.059998
Georgia,2015,855245,1112080,6443651,0.046244,0.070676,0.002947,0.064002,0.18119,0.054469
Hawaii,2015,96573,135482,926174,0.065601,0.082496,0.004168,0.066348,0.186575,0.068144
Idaho,2015,146791,175145,1038291,0.04204,0.06284,0.003931,0.057734,0.14699,0.057859
Illinois,2015,1015317,1372755,8331898,0.050446,0.079024,0.003131,0.067141,0.208744,0.059097
Indiana,2015,539568,743107,4212004,0.055497,0.078823,0.004045,0.072283,0.195991,0.070296
Iowa,2015,243253,359178,1999854,0.044494,0.077656,0.003149,0.053776,0.132453,0.040897
Kansas,2015,237647,327480,1803253,0.047361,0.064843,0.00479,0.061534,0.157347,0.054148
Kentucky,2015,339903,471060,2865061,0.050378,0.071731,0.003074,0.061341,0.157894,0.056878
Louisiana,2015,367464,503266,2954805,0.046759,0.064539,0.002836,0.056972,0.174554,0.051457
Maine,2015,91487,124761,936729,0.062933,0.095821,0.004786,0.096974,0.308479,0.129992
Maryland,2015,453674,617785,3951408,0.059266,0.101327,0.004572,0.077754,0.273445,0.078284
Massachusetts,2015,487249,792216,4556470,0.064887,0.108489,0.007202,0.086836,0.27577,0.094517
Michigan,2015,779507,1108537,6511669,0.057411,0.080594,0.005402,0.079789,0.22069,0.088931
Minnesota,2015,427687,572944,3589691,0.05405,0.088611,0.004029,0.058811,0.174237,0.058819
Mississippi,2015,244221,331045,1870263,0.044493,0.063877,0.001882,0.049455,0.144559,0.042272
Missouri,2015,469494,652575,3941380,0.051229,0.095944,0.003555,0.062332,0.184192,0.066485
Montana,2015,74427,111264,684598,0.070199,0.104608,0.006327,0.084298,0.238864,0.10483
Nebraska,2015,152704,213106,1187602,0.043209,0.084916,0.002894,0.057359,0.173479,0.055786
Nevada,2015,224147,287409,1916967,0.068258,0.076561,0.005765,0.086497,0.182526,0.067065
New Hampshire,2015,96774,142696,911511,0.059171,0.10982,0.004618,0.080567,0.282961,0.099299
New Jersey,2015,694182,892114,5965066,0.044956,0.081826,0.003527,0.057235,0.205541,0.04828
New Mexico,2015,165412,223662,1329649,0.069925,0.087867,0.006007,0.094554,0.228503,0.085516
New York,2015,1416226,2197628,13150285,0.055818,0.085376,0.00422,0.072787,0.233827,0.076521
North Carolina,2015,783879,1053931,6532379,0.051035,0.072711,0.00366,0.058046,0.199216,0.059788
North Dakota,2015,52111,102161,463569,0.04611,0.07878,0.003429,0.056307,0.139215,0.037978
Ohio,2015,909989,1220151,7605364,0.051442,0.080428,0.002976,0.064102,0.207927,0.073541
Oklahoma,2015,314698,428910,2448662,0.045925,0.05781,0.004964,0.052036,0.140151,0.046841
Oregon,2015,291584,417950,2739602,0.064563,0.10183,0.006647,0.097728,0.305955,0.140706
Pennsylvania,2015,928154,1344620,8572327,0.045645,0.080752,0.003465,0.062452,0.200435,0.06554
Rhode Island,2015,74286,127975,702577,0.072336,0.095714,0.006754,0.105045,0.319983,0.12654
South Carolina,2015,367649,515200,3219369,0.048086,0.076762,0.003177,0.064042,0.196604,0.048067
South Dakota,2015,66117,92977,539708,0.047524,0.073164,0.004519,0.067187,0.170875,0.060644
Tennessee,2015,508573,700709,4323137,0.049567,0.065316,0.002699,0.061563,0.183363,0.063169
Texas,2015,2395358,3083498,16842117,0.04524,0.054999,0.001791,0.059352,0.145847,0.04326
Utah,2015,294912,387120,1695021,0.034724,0.057132,0.002873,0.043207,0.120749,0.038593
Vermont,2015,42936,74732,425544,0.065291,0.123993,0.006976,0.094434,0.381623,0.140002
Virginia,2015,626833,888046,5430166,0.049217,0.076132,0.003287,0.053456,0.179378,0.052193
Washington,2015,532127,745740,4751278,0.053893,0.08541,0.007373,0.079307,0.232977,0.106914
West Virginia,2015,128587,185094,1248039,0.055348,0.074145,0.002756,0.059379,0.165644,0.053928
Wisconsin,2015,445564,626320,3787384,0.059074,0.086805,0.004389,0.069618,0.172625,0.057957
Wyoming,2015,44091,62125,375070,0.049575,0.076606,0.004103,0.058077,0.150008,0.048756
Alabama,2016,375632,515697,3179298,0.039066,0.062964,0.00349,0.052579,0.164758,0.048639
Alaska,2016,58821,75809,450641,0.070859,0.089633,0.010548,0.088367,0.262689,0.149677
Arizona,2016,551089,747345,4489709,0.043245,0.06827,0.005279,0.06311,0.190892,0.068469
Arkansas,2016,236782,316285,1922394,0.046076,0.056173,0.00332,0.058124,0.159551,0.072093
California,2016,3033914,4323156,25492189,0.056014,0.08432,0.004479,0.069323,0.240683,0.096997
Colorado,2016,425994,591983,3629008,0.078897,0.155565,0.010936,0.090181,0.317394,0.148058
Connecticut,2016,276122,389201,2395872,0.066511,0.109249,0.006986,0.079122,0.303527,0.076914
Delaware,2016,69477,95499,642469,0.056643,0.082181,0.004897,0.074514,0.237259,0.081688
District of Columbia,2016,31164,90630,463974,0.073484,0.145743,0.013644,0.082644,0.34851,0.143165
Florida,2016,1415667,1960092,14351670,0.056973,0.077283,0.003723,0.074767,0.223871,0.068811
Georgia,2016,862534,1106098,6555271,0.044675,0.063288,0.003324,0.053851,0.183779,0.049511
Hawaii,2016,95796,128416,934643,0.058722,0.088721,0.004356,0.065436,0.17446,0.070582
Idaho,2016,149626,177049,1062401,0.046827,0.071801,0.004226,0.063423,0.160693,0.063956
Illinois,2016,1006653,1352935,8352680,0.058438,0.084489,0.00412,0.068853,0.235063,0.06663
Indiana,2016,538403,741896,4240275,0.060323,0.088339,0.004833,0.065063,0.206966,0.076461
Iowa,2016,244029,359493,2008814,0.040529,0.084344,0.003988,0.05111,0.172909,0.049319
Kansas,2016,237420,324503,1811408,0.049812,0.076266,0.004885,0.051583,0.16042,0.051224
Kentucky,2016,340232,468636,2883972,0.051631,0.067391,0.003806,0.060077,0.173838,0.064125
Louisiana,2016,365494,491237,2976965,0.045331,0.058127,0.003285,0.056679,0.188036,0.059877
Maine,2016,90519,124197,942340,0.062364,0.106195,0.007029,0.098925,0.343782,0.138945
Maryland,2016,453829,609069,3982694,0.058792,0.089921,0.005052,0.071271,0.26241,0.087099
Massachusetts,2016,484894,792371,4598419,0.078849,0.131037,0.008651,0.089071,0.302715,0.109411
Michigan,2016,770605,1100969,6555498,0.060212,0.08907,0.005828,0.077254,0.242372,0.099481
Minnesota,2016,431266,574516,3625172,0.056688,0.101221,0.005187,0.058126,0.191165,0.061292
Mississippi,2016,243347,325383,1879442,0.048384,0.068262,0.002719,0.050457,0.157901,0.056714
Missouri,2016,467819,644888,3967539,0.049257,0.089527,0.004703,0.05802,0.185661,0.070784
Montana,2016,74636,110413,693178,0.065344,0.109485,0.00674,0.088037,0.251324,0.115246
Nebraska,2016,154318,213416,1196562,0.051979,0.097158,0.003914,0.059965,0.187564,0.059569
Nevada,2016,226449,285045,1964559,0.063053,0.085223,0.005484,0.08819,0.258643,0.101089
New Hampshire,2016,95517,142276,920285,0.063728,0.113667,0.005652,0.086373,0.289259,0.108603
New Jersey,2016,691607,890578,6001097,0.042259,0.085434,0.00393,0.051556,0.223358,0.051196
New Mexico,2016,165925,220697,1338531,0.075447,0.095398,0.00717,0.097419,0.243874,0.101856
New York,2016,1403019,2156021,13244748,0.052102,0.081576,0.005074,0.067491,0.233469,0.075015
North Carolina,2016,789194,1047806,6651709,0.04934,0.06903,0.004082,0.060428,0.190424,0.063954
North Dakota,2016,52376,97469,466368,0.037936,0.074601,0.004242,0.049853,0.144973,0.049334
Ohio,2016,902125,1214375,7643985,0.053688,0.087965,0.003853,0.063327,0.212731,0.068256
Oklahoma,2016,316132,423784,2464143,0.046642,0.06642,0.00473,0.053769,0.168024,0.053912
Oregon,2016,292642,417821,2791313,0.068531,0.123615,0.008691,0.103457,0.331518,0.180742
Pennsylvania,2016,922209,1328664,8602887,0.043926,0.079863,0.004122,0.055948,0.213785,0.06477
Rhode Island,2016,73649,127226,707314,0.065095,0.101041,0.008108,0.094852,0.318622,0.135052
South Carolina,2016,370519,510357,3284833,0.045522,0.068527,0.003529,0.05471,0.183822,0.049693
South Dakota,2016,67066,92382,544008,0.046462,0.07019,0.004242,0.05944,0.182504,0.053958
Tennessee,2016,509963,694756,4382664,0.047729,0.063743,0.003121,0.057455,0.194881,0.064396
Texas,2016,2431437,3086931,17182224,0.042052,0.055631,0.002673,0.048551,0.146267,0.045855
Utah,2016,300510,392070,1736486,0.031914,0.060982,0.003645,0.047076,0.147145,0.046349
Vermont,2016,42109,74469,426296,0.072492,0.121414,0.008843,0.107482,0.38804,0.159095
Virginia,2016,628617,877876,5486815,0.045181,0.07064,0.004116,0.054833,0.184691,0.052828
Washington,2016,536155,739948,4859213,0.058087,0.103023,0.010247,0.089576,0.264844,0.142773
West Virginia,2016,127201,181138,1242852,0.0461,0.059502,0.003321,0.054494,0.169444,0.064444
Wisconsin,2016,444929,625910,3806407,0.055605,0.083364,0.00501,0.059074,0.188162,0.063304
Wyoming,2016,44231,59736,375321,0.04452,0.072832,0.004989,0.05763,0.164955,0.057658
Alabama,2017,373065,510012,3201636,0.040615,0.060559,0.003657,0.061763,0.186689,0.069101
Alaska,2017,58106,73343,454286,0.078037,0.084995,0.011357,0.078759,0.262684,0.160981
Arizona,2017,556478,753929,4599057,0.051075,0.077786,0.008665,0.062781,0.210667,0.098257
Arkansas,2017,236702,314368,1937651,0.050065,0.059215,0.002862,0.056172,0.16197,0.077284
California,2017,3026428,4250955,25769686,0.064032,0.095863,0.006785,0.07053,0.250649,0.103852
Colorado,2017,430432,587460,3708548,0.076533,0.130873,0.013191,0.093862,0.332081,0.157346
Connecticut,2017,272254,387595,2405282,0.080842,0.115514,0.008437,0.083498,0.300832,0.095765
Delaware,2017,69413,94216,651806,0.067197,0.082958,0.006261,0.081936,0.267196,0.092235
District of Columbia,2017,31570,87525,474297,0.090263,0.133052,0.01526,0.084719,0.324914,0.142547
Florida,2017,1431798,1961154,14656396,0.055116,0.077523,0.003844,0.070557,0.228752,0.076706
Georgia,2017,866242,1105245,6661559,0.053039,0.063126,0.003517,0.060451,0.201754,0.065307
Hawaii,2017,95447,123940,938835,0.060931,0.07711,0.005072,0.053126,0.167027,0.080936
Idaho,2017,152823,180549,1089805,0.054661,0.06403,0.003194,0.062843,0.164919,0.071123
Illinois,2017,995426,1331211,8380092,0.06266,0.080217,0.0048,0.068608,0.225916,0.079184
Indiana,2017,537556,738014,4276407,0.059776,0.096654,0.005187,0.067717,0.228456,0.084579
Iowa,2017,245032,357855,2020666,0.041581,0.085528,0.004173,0.053618,0.175386,0.05389
Kansas,2017,237064,322476,1819258,0.053827,0.086477,0.005728,0.045281,0.145448,0.051312
Kentucky,2017,340220,465663,2903588,0.050768,0.070164,0.004157,0.059323,0.174199,0.06982
Louisiana,2017,361940,479234,2987835,0.042172,0.067725,0.003686,0.05117,0.188305,0.062151
Maine,2017,89705,122655,948984,0.061331,0.157818,0.016951,0.103117,0.351692,0.147505
Maryland,2017,452456,600019,4007455,0.054477,0.084246,0.004877,0.069561,0.247089,0.080081
Massachusetts,2017,481835,793182,4649494,0.080473,0.148647,0.008987,0.093287,0.313888,0.110157
Michigan,2017,762352,1091893,6612857,0.064344,0.104446,0.007317,0.078658,0.274975,0.107024
Minnesota,2017,434904,572931,3665430,0.050146,0.099831,0.006758,0.062529,0.220888,0.078925
Mississippi,2017,241768,322550,1887440,0.047587,0.063856,0.003303,0.049611,0.152567,0.058341
Missouri,2017,466292,635726,3997148,0.05095,0.088308,0.005044,0.062113,0.199646,0.07031
Montana,2017,75436,110155,702611,0.062353,0.120325,0.007118,0.096465,0.272999,0.129625
Nebraska,2017,155993,212817,1206583,0.057555,0.076481,0.003442,0.061555,0.205405,0.062995
Nevada,2017,229143,283377,2008499,0.058347,0.116761,0.009226,0.091651,0.320867,0.133124
New Hampshire,2017,94983,141804,933100,0.073432,0.127347,0.00731,0.088416,0.299524,0.124076
New Jersey,2017,684290,880024,6010331,0.049195,0.083851,0.003867,0.056058,0.210821,0.06211
New Mexico,2017,165877,219023,1351993,0.078753,0.096648,0.008694,0.09575,0.239644,0.116167
New York,2017,1375507,2093893,13260774,0.052363,0.08363,0.004938,0.066195,0.242221,0.07808
North Carolina,2017,791658,1058797,6764669,0.051837,0.068604,0.003965,0.066632,0.192401,0.061327
North Dakota,2017,53301,94024,469643,0.040366,0.069308,0.00373,0.049262,0.171216,0.060302
Ohio,2017,896066,1210058,7695525,0.052745,0.093099,0.004964,0.06161,0.20669,0.066599
Oklahoma,2017,317113,419663,2479838,0.048708,0.071401,0.004702,0.053081,0.175701,0.060949
Oregon,2017,294160,416018,2839447,0.067544,0.144396,0.014326,0.097064,0.33114,0.176764
Pennsylvania,2017,916014,1313052,8642237,0.049834,0.077352,0.003782,0.05309,0.197126,0.069782
Rhode Island,2017,73039,125273,711511,0.070659,0.115381,0.010193,0.086116,0.292614,0.126962
South Carolina,2017,373712,507495,3345950,0.05507,0.06891,0.003448,0.063373,0.191819,0.068917
South Dakota,2017,68252,92097,550564,0.041656,0.068513,0.003063,0.052592,0.177041,0.055774
Tennessee,2017,511356,690281,4443021,0.050683,0.055342,0.002688,0.061058,0.198824,0.070664
Texas,2017,2463690,3098890,17545587,0.043725,0.062186,0.003624,0.048153,0.146741,0.047236
Utah,2017,306536,398120,1780017,0.027886,0.055658,0.003821,0.0446,0.138126,0.046216
Vermont,2017,41544,74251,428613,0.095721,0.146633,0.008764,0.126678,0.376687,0.167641
Virginia,2017,629286,874127,5542540,0.046562,0.065005,0.003745,0.056384,0.195027,0.055302
Washington,2017,541234,736912,4970994,0.062398,0.125148,0.014847,0.099418,0.30444,0.150114
West Virginia,2017,125736,177588,1238942,0.053111,0.063466,0.003374,0.062507,0.189142,0.083741
Wisconsin,2017,443580,622050,3833603,0.054635,0.07563,0.003909,0.060891,0.212407,0.072197
Wyoming,2017,44389,57838,375569,0.052923,0.069724,0.004983,0.063352,0.175659,0.063842
Alabama,2018,371033,505103,3225318,0.046155,0.065405,0.005085,0.057989,0.183446,0.074906
Alaska,2018,57444,71183,455906,0.077775,0.101149,0.012769,0.0854,0.307125,0.162506
Arizona,2018,562546,763917,4715857,0.059971,0.073831,0.008138,0.060367,0.207976,0.100118
Arkansas,2018,237382,312348,1949363,0.050178,0.072719,0.005104,0.058163,0.158035,0.076023
California,2018,3017701,4174962,25917724,0.06827,0.08932,0.008406,0.088481,0.264822,0.119085
Colorado,2018,433719,589317,3782655,0.079658,0.124871,0.01209,0.097544,0.343871,0.156205
Connecticut,2018,268807,383297,2408141,0.065696,0.11645,0.009558,0.074571,0.272163,0.105194
Delaware,2018,69325,92525,659878,0.071153,0.093548,0.00793,0.082642,0.27575,0.105257
District of Columbia,2018,31910,86420,479448,0.095006,0.113711,0.01497,0.089854,0.307315,0.143004
Florida,2018,1439529,1956426,14896983,0.052801,0.074845,0.004808,0.064692,0.214531,0.089626
Georgia,2018,868842,1107324,6756292,0.04927,0.067467,0.00532,0.060388,0.195616,0.079139
Hawaii,2018,95153,120820,939985,0.056969,0.065292,0.007397,0.06292,0.187704,0.09383
Idaho,2018,155001,183511,1119507,0.05431,0.068996,0.006043,0.058997,0.182106,0.073643
Illinois,2018,984930,1308622,8378609,0.060357,0.078236,0.006768,0.070117,0.217377,0.089954
Indiana,2018,537380,736727,4312382,0.053447,0.08976,0.007218,0.07522,0.256343,0.096579
Iowa,2018,245846,353673,2032017,0.050599,0.075515,0.005428,0.057094,0.161565,0.051771
Kansas,2018,237062,320289,1827127,0.049612,0.077887,0.007298,0.049952,0.153909,0.064178
Kentucky,2018,339761,461868,2917791,0.050308,0.081384,0.00615,0.061808,0.18962,0.087077
Louisiana,2018,360378,468361,2992047,0.043266,0.067949,0.004543,0.049905,0.184682,0.063908
Maine,2018,89221,121181,955772,0.077052,0.143911,0.01093,0.109346,0.351204,0.159727
Maryland,2018,450671,590912,4017859,0.054636,0.08057,0.006431,0.070668,0.26372,0.091638
Massachusetts,2018,477554,788962,4680619,0.072546,0.15275,0.011282,0.097151,0.310119,0.127287
Michigan,2018,753613,1077222,6657456,0.063043,0.126914,0.009298,0.074173,0.293024,0.120179
Minnesota,2018,438045,568703,3698785,0.051339,0.09583,0.007764,0.065337,0.224651,0.084427
