State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
North Dakota,2003,52643,82943,392000,0.067481,0.081808,0.001235,0.074929,0.147169,0.034547
Ohio,2003,983181,1251526,7227097,0.06247,0.074386,0.001408,0.08212,0.166232,0.039946
Oklahoma,2003,296942,415680,2144532,0.05907,0.062401,0.001335,0.077585,0.157034,0.033586
Oregon,2003,297247,392447,2296726,0.069537,0.064371,0.001657,0.097435,0.210715,0.055796
Pennsylvania,2003,1034227,1315867,8027780,0.063284,0.075216,0.001268,0.077523,0.177426,0.038676
Rhode Island,2003,87330,127440,690482,0.073838,0.084438,0.001566,0.10965,0.254231,0.059219
South Carolina,2003,356468,460716,2594007,0.062303,0.081715,0.001274,0.067279,0.155301,0.038782
South Dakota,2003,68362,93146,464319,0.072401,0.078177,0.001284,0.069036,0.12931,0.029924
Tennessee,2003,475614,636601,3743398,0.053597,0.051811,0.001434,0.061429,0.128083,0.035764
Texas,2003,2038642,2577160,12992311,0.057748,0.050731,0.001263,0.059671,0.126078,0.029156
Utah,2003,229590,356134,1248593,0.04157,0.042279,0.001859,0.047351,0.096118,0.025912
Vermont,2003,53561,70579,408025,0.088156,0.104655,0.001546,0.111069,0.263493,0.057314
Virginia,2003,617003,757538,4614672,0.053038,0.084983,0.001275,0.067629,0.161315,0.034386
Washington,2003,527419,676016,3890656,0.064707,0.068182,0.001442,0.079838,0.172785,0.042504
West Virginia,2003,138269,195092,1205827,0.070166,0.069092,0.001328,0.077668,0.156707,0.037354
Wisconsin,2003,478926,633007,3459808,0.069829,0.079069,0.001363,0.083605,0.158904,0.035524
Wyoming,2003,43883,60860,315000,0.069667,0.076053,0.001553,0.068655,0.163696,0.034978
Alabama,2004,380150,506120,2871062,0.051428,0.051097,0.001531,0.067209,0.139538,0.030454
Alaska,2004,68162,73462,373429,0.0715,0.071247,0.002517,0.097076,0.213588,0.07992
Arizona,2004,510698,643907,3549522,0.068894,0.055449,0.001926,0.082033,0.131478,0.035071
Arkansas,2004,232095,310177,1729803,0.055108,0.046945,0.001601,0.078314,0.144019,0.036164
California,2004,3290671,3974135,21850567,0.057477,0.057879,0.001635,0.074991,0.161887,0.048548
Colorado,2004,392822,506705,2865042,0.074678,0.065646,0.002374,0.092432,0.209658,0.049365
Connecticut,2004,299013,344048,2265842,0.07991,0.0765,0.002093,0.088786,0.237435,0.049532
Delaware,2004,67454,92253,534950,0.06835,0.080152,0.001832,0.072388,0.201966,0.036341
District of Columbia,2004,34350,65197,364207,0.061086,0.073069,0.002111,0.068732,0.18751,0.0525
Florida,2004,1404055,1719548,11530104,0.060007,0.056774,0.001439,0.072884,0.179681,0.039199
Georgia,2004,775954,990545,5412379,0.050271,0.059222,0.001885,0.060679,0.145383,0.039364
Hawaii,2004,100585,123191,796942,0.062499,0.066521,0.001897,0.076051,0.166669,0.043639
Idaho,2004,127552,172734,841609,0.055463,0.061413,0.0024,0.06241,0.128033,0.032856
Illinois,2004,1099965,1406715,7910382,0.059355,0.065868,0.001772,0.063461,0.159448,0.036338
Indiana,2004,549720,709599,3856681,0.061418,0.059019,0.002009,0.065375,0.143653,0.032385
Iowa,2004,240059,353384,1883725,0.048695,0.061438,0.001787,0.059806,0.116811,0.02639
Kansas,2004,233656,327533,1673455,0.057027,0.067764,0.002235,0.067931,0.138761,0.033846
Kentucky,2004,336219,453022,2645240,0.059068,0.053165,0.00193,0.077336,0.146774,0.044524
Louisiana,2004,398611,545993,2712415,0.052294,0.061209,0.001659,0.05755,0.147423,0.036523
Maine,2004,108414,137266,884793,0.074833,0.089657,0.002076,0.122692,0.245915,0.056045
Maryland,2004,492847,571917,3512136,0.061242,0.065253,0.001716,0.068759,0.138594,0.034192
Massachusetts,2004,511301,676924,4186567,0.063198,0.079689,0.002271,0.094944,0.248787,0.045276
Michigan,2004,907902,1111809,6354775,0.062168,0.075685,0.002024,0.07494,0.185745,0.045143
Minnesota,2004,437674,597384,3220581,0.06053,0.066855,0.002247,0.078223,0.167382,0.050562
Mississippi,2004,255659,348523,1747645,0.047433,0.052998,0.00139,0.057937,0.115524,0.032954
Missouri,2004,486907,653900,3636194,0.059048,0.067024,0.002005,0.075349,0.148988,0.035952
Montana,2004,77617,108976,599979,0.07686,0.083092,0.002094,0.094964,0.21053,0.056534
Nebraska,2004,148189,210903,1077324,0.049989,0.061187,0.001856,0.058813,0.147327,0.030151
Nevada,2004,201110,239773,1493077,0.063256,0.045819,0.001961,0.069756,0.160589,0.043769
New Hampshire,2004,115243,136890,849273,0.059008,0.100907,0.002243,0.085894,0.235917,0.049026
